,ODD,HC,UOC,FTEP,OSP,FTAG,HTAG,FT25,HT25,FTHAG,HTHAG,FTH25,HTH25
95,4.5,79,300,26.333333333333332,0.7602635580334516,[1.12       1.60666667],[0.48666667 0.71      ],52.33333333333333,12.333333333333334,[2.16455696 0.62025316],[0.98734177 0.32911392],58.22784810126582,15.18987341772152
96,4.6,4,10,40.0,0.025342118601115054,[1.1 1.5],[0.6 0.7],50.0,20.0,[1.5 0.5],[1.   0.25],25.0,25.0
97,4.7,0,2,0.0,0.00506842372022301,[0.  2.5],[0.  1.5],50.0,0.0,,,,
98,4.75,66,324,20.37037037037037,0.8210846426761277,[1.09567901 1.80555556],[0.46604938 0.85185185],53.70370370370371,15.74074074074074,[2.13636364 0.62121212],[0.86363636 0.28787879],57.57575757575758,13.636363636363635
99,4.8,2,2,100.0,0.00506842372022301,[1. 0.],[0.5 0. ],0.0,0.0,[1. 0.],[0.5 0. ],0.0,0.0
100,5.0,42,286,14.685314685314685,0.7247845919918905,[0.83566434 1.86363636],[0.32867133 0.82517483],52.7972027972028,9.44055944055944,[1.9047619  0.57142857],[0.69047619 0.23809524],52.38095238095239,4.761904761904762
101,5.25,38,208,18.269230769230766,0.5271160669031931,[0.93269231 1.98557692],[0.32692308 0.90384615],58.17307692307693,13.942307692307693,[2.07894737 0.81578947],[0.73684211 0.36842105],65.78947368421053,7.894736842105263
102,5.5,34,214,15.887850467289718,0.5423213380638621,[0.88317757 1.79439252],[0.40186916 0.79906542],47.66355140186916,12.616822429906541,[2.         0.64705882],[0.67647059 0.29411765],50.0,2.941176470588235
103,5.75,17,121,14.049586776859504,0.3066396350734921,[0.95867769 2.16528926],[0.39669421 1.03305785],60.33057851239669,22.31404958677686,[2.11764706 0.64705882],[0.94117647 0.41176471],64.70588235294117,17.647058823529413
104,6.0,19,222,8.558558558558559,0.5625950329447541,[0.71171171 2.12162162],[0.35585586 1.0045045 ],59.909909909909906,18.01801801801802,[1.94736842 0.57894737],[1.10526316 0.36842105],63.1578947368421,10.526315789473683
105,6.25,2,11,18.181818181818183,0.02787633046122656,[1.27272727 2.54545455],[0.18181818 1.54545455],72.72727272727273,27.27272727272727,[1. 0.],[0. 0.],0.0,0.0
106,6.5,30,228,13.157894736842104,0.5778003041054233,[0.90789474 2.01754386],[0.41666667 0.90789474],57.45614035087719,14.035087719298245,[2.26666667 0.6       ],[1.03333333 0.3       ],53.333333333333336,16.666666666666664
107,6.75,1,1,100.0,0.002534211860111505,[2. 0.],[0. 0.],0.0,0.0,[2. 0.],[0. 0.],0.0,0.0
108,7.0,20,170,11.76470588235294,0.4308160162189559,[0.71764706 2.04705882],[0.28823529 0.88235294],50.0,10.588235294117647,[2.15 0.65],[0.8  0.25],45.0,10.0
109,7.5,12,130,9.230769230769232,0.3294475418144957,[0.85384615 2.12307692],[0.45384615 0.93076923],55.38461538461539,15.384615384615385,[2.16666667 1.08333333],[1.5 0.5],66.66666666666666,41.66666666666667
110,8.0,19,138,13.768115942028986,0.34972123669538774,[0.86231884 2.29710145],[0.37681159 0.92753623],63.04347826086957,8.695652173913043,[1.68421053 0.52631579],[0.63157895 0.21052632],52.63157894736842,5.263157894736842
111,8.5,8,81,9.876543209876543,0.20527116066903192,[0.81481481 2.48148148],[0.35802469 0.91358025],66.66666666666666,16.049382716049383,[2.375 0.875],[0.75  0.375],62.5,12.5
112,9.0,8,115,6.956521739130435,0.2914343639128231,[0.73043478 2.33913043],[0.31304348 1.15652174],63.47826086956522,19.130434782608695,[2.25 0.75],[0.625 0.5  ],62.5,12.5
113,9.5,5,53,9.433962264150944,0.13431322858590977,[0.60377358 2.35849057],[0.22641509 1.05660377],60.37735849056604,9.433962264150944,[1.8 0.6],[0.8 0.2],40.0,20.0
114,10.0,10,88,11.363636363636363,0.2230106436898125,[0.85227273 2.375     ],[0.47727273 1.07954545],59.09090909090909,17.045454545454543,[3.1 1.1],[1.8 0.5],80.0,40.0
115,10.5,0,1,0.0,0.002534211860111505,[1. 4.],[0. 3.],100.0,100.0,,,,
116,11.0,5,67,7.462686567164178,0.16979219462747086,[0.76119403 2.68656716],[0.28358209 1.23880597],70.1492537313433,20.8955223880597,[2.2 0.6],[0.8 0.2],60.0,20.0
117,12.0,1,39,2.564102564102564,0.09883426254434871,[0.51282051 2.53846154],[0.15384615 1.23076923],53.84615384615385,20.51282051282051,[1. 0.],[0. 0.],0.0,0.0
118,13.0,2,61,3.278688524590164,0.1545869234668018,[0.73770492 2.85245902],[0.31147541 1.2295082 ],68.85245901639344,16.39344262295082,[3.5 2.5],[1. 1.],100.0,0.0
119,15.0,3,36,8.333333333333332,0.0912316269640142,[0.69444444 3.05555556],[0.33333333 1.63888889],69.44444444444444,27.77777777777778,[2.33333333 1.33333333],[1.66666667 1.        ],100.0,66.66666666666666
120,16.0,0,2,0.0,0.00506842372022301,[0.5 3. ],[0.5 1.5],100.0,50.0,,,,
121,17.0,3,14,21.428571428571427,0.035478966041561075,[0.92857143 2.78571429],[0.5 1.5],57.14285714285714,42.857142857142854,[1.66666667 0.33333333],[1. 0.],33.33333333333333,0.0
122,19.0,0,2,0.0,0.00506842372022301,[0. 2.],[0.  0.5],50.0,0.0,,,,
123,21.0,0,5,0.0,0.012671059300557527,[1.2 3. ],[0.4 1.2],60.0,20.0,,,,
124,23.0,0,2,0.0,0.00506842372022301,[0.5 1.5],[0. 1.],50.0,0.0,,,,
125,26.0,0,3,0.0,0.007602635580334516,[1. 2.],[0.66666667 0.        ],66.66666666666666,0.0,,,,
